Cultural Element,Count,Description,Historical Period,Region of Origin,Associated States
Classical Dance Forms,8,"India's eight classical dance forms - Bharatanatyam, Kathakali, Mohiniyattam, Kuchipudi, Odissi, Sattriya, Manipuri, and Kathak - are recognized by the Sangeet Natak Akademi and have ancient origins codified in the Natya Shastra.","Ancient to Classical (200 BCE - 500 CE)","Pan-India","Tamil Nadu, Kerala, Andhra Pradesh, Odisha, Assam, Manipur, North India"
Classical Music Traditions,2,"The two major classical music traditions - Hindustani (North) and Carnatic (South) - feature distinct ragas, talas, and performance styles with centuries of continuous evolution.","Medieval (500 CE - 1500 CE)","North & South India","Maharashtra, Karnataka, Tamil Nadu, Uttar Pradesh, Punjab, Bengal"
Folk Art Forms,25,"India's diverse folk art traditions include Madhubani, Warli, Kalamkari, Phad, Pattachitra, and many others, each with unique regional styles and cultural significance.","Ancient to Contemporary","Pan-India","Bihar, Maharashtra, Andhra Pradesh, Rajasthan, Odisha, West Bengal"
UNESCO World Heritage Sites,40,"India's UNESCO World Heritage Sites include architectural marvels, natural wonders, and cultural landmarks spanning thousands of years of history.","Ancient to Colonial","Pan-India","Multiple states across India"
Traditional Handicrafts,35,"India's handicraft traditions include textiles, pottery, metalwork, woodwork, and stone carving, representing millennia of artisanal knowledge.","Ancient to Contemporary","Pan-India","Gujarat, Rajasthan, Kashmir, Bengal, Tamil Nadu, Karnataka"
Martial Arts,12,"Traditional martial art forms like Kalaripayattu, Silambam, Gatka, Thang-Ta, and Mardani Khel showcase India's ancient combat traditions.","Ancient (1000 BCE - 500 CE)","South & North India","Kerala, Tamil Nadu, Punjab, Manipur, Maharashtra"
Textile Traditions,20,"India's textile heritage includes techniques like ikat, bandhani, brocade weaving, kalamkari, and block printing, with each region having distinctive styles.","Ancient to Contemporary","Pan-India","Gujarat, Rajasthan, Andhra Pradesh, Tamil Nadu, Assam, Odisha"
Architectural Styles,15,"Architectural traditions include Nagara, Dravidian, Vesara, Indo-Islamic, Colonial, and Contemporary styles, each with distinctive features and regional variations.","Ancient to Contemporary","Pan-India","Karnataka, Tamil Nadu, Odisha, Uttar Pradesh, Delhi, Madhya Pradesh"
Temple Art Traditions,18,"Temple art encompasses sculpture, painting, and decorative arts with regional variations in style, iconography, and techniques.","Ancient to Medieval","Pan-India","Tamil Nadu, Karnataka, Odisha, Madhya Pradesh, Uttar Pradesh"
Living Heritage Practices,30,"Living traditions include yoga, Ayurveda, traditional agricultural practices, water harvesting techniques, and indigenous knowledge systems.","Ancient to Contemporary","Pan-India","Kerala, Tamil Nadu, Himachal Pradesh, Uttarakhand, Gujarat"
Culinary Traditions,35,"India's diverse culinary heritage features regional cuisines with distinctive ingredients, techniques, and cultural significance.","Ancient to Contemporary","Pan-India","Bengal, Kerala, Punjab, Gujarat, Kashmir, Goa"
Ritual Arts,15,"Ritual arts include rangoli, kolam, alpana, and other ephemeral art forms created for festivals, ceremonies, and daily rituals.","Ancient to Contemporary","Pan-India","Tamil Nadu, Karnataka, Maharashtra, Bengal, Rajasthan"
Literary Traditions,22,"India's literary heritage spans ancient Sanskrit texts, medieval bhakti poetry, and modern literature in 22 officially recognized languages.","Ancient to Contemporary","Pan-India","Bengal, Tamil Nadu, Kerala, Maharashtra, Hindi Belt"
Performing Arts (Non-classical),40,"Non-classical performing arts include folk theater, puppetry, storytelling traditions, and regional music forms.","Medieval to Contemporary","Pan-India","Rajasthan, Karnataka, Kerala, Assam, Maharashtra"
Tribal Cultural Expressions,100,"Tribal communities across India maintain distinctive cultural practices, art forms, music, dance, and spiritual traditions.","Ancient to Contemporary","Central & Northeast India","Jharkhand, Chhattisgarh, Odisha, Northeast States"
Festival Traditions,30,"India's festival traditions encompass religious celebrations, harvest festivals, and cultural events with regional variations.","Ancient to Contemporary","Pan-India","All states of India"
Monumental Heritage,3650,"Protected monuments under Archaeological Survey of India represent diverse architectural styles and historical periods.","Ancient to Colonial","Pan-India","Multiple states across India"
Traditional Knowledge Systems,25,"Traditional knowledge systems include agricultural practices, water management, medicine, astronomy, and mathematics.","Ancient to Contemporary","Pan-India","Kerala, Tamil Nadu, Karnataka, Gujarat, Rajasthan"
Craft Clusters,3000,"Craft clusters are geographic concentrations of artisans practicing traditional crafts, often with GI tags and distinctive regional styles.","Medieval to Contemporary","Pan-India","Gujarat, Rajasthan, Uttar Pradesh, West Bengal, Tamil Nadu"
Musical Instruments,100,"Traditional musical instruments include string, wind, and percussion instruments with regional variations and specialized playing techniques.","Ancient to Contemporary","Pan-India","Maharashtra, Punjab, Tamil Nadu, Karnataka, Bengal" 